step,seed,measurement_ratio,method,lambda,val_rmse_selected,ae_recon_train_rmse,n_train,n_val,n_test,rmse,mae,rel_l2
8,7,0.05,ridge_prior_csgm,0.001,0.01667231385491201,0.008539741701909312,104,11,97,0.01610471983349352,0.012301048529749017,0.21568383379950676
8,7,0.1,ridge_prior_csgm,0.001,0.016589247421532095,0.008539741701909312,104,11,97,0.014780226008061843,0.011238664547689257,0.19779782571785995
8,7,0.2,ridge_prior_csgm,0.0003,0.015442912544644555,0.008539741701909312,104,11,97,0.01199310532763615,0.008857263728115294,0.15278389781878143
8,23,0.05,ridge_prior_csgm,0.001,0.01722909260092578,0.008529016327318312,104,11,97,0.01715042771467887,0.01317160739891182,0.2244627588848226
8,23,0.1,ridge_prior_csgm,0.001,0.015933859518009793,0.008529016327318312,104,11,97,0.015460685276415137,0.011659308604197416,0.1988631426849177
8,23,0.2,ridge_prior_csgm,0.0003,0.014818036772282602,0.008529016327318312,104,11,97,0.011386524229831848,0.008592311683200472,0.1470173091987054
8,41,0.05,ridge_prior_csgm,0.0003,0.01515695131364355,0.008848604019402462,104,11,97,0.012976091759682354,0.010009094371143567,0.1730305270604535
8,41,0.1,ridge_prior_csgm,0.001,0.014785139612372086,0.008848604019402462,104,11,97,0.012712929303935595,0.009878699670888447,0.166713173649953
8,41,0.2,ridge_prior_csgm,0.001,0.014316207201958794,0.008848604019402462,104,11,97,0.011629145179668933,0.00886353641336425,0.15241596604394683
16,7,0.05,ridge_prior_csgm,0.003,0.015483691332152343,0.01014786931226031,52,6,49,0.01553181999205866,0.011910031551374984,0.20568018682499553
16,7,0.1,ridge_prior_csgm,0.01,0.015539554264801456,0.01014786931226031,52,6,49,0.01547490314573182,0.011926620063761242,0.20582108032544413
16,7,0.2,ridge_prior_csgm,0.001,0.014313749118995663,0.01014786931226031,52,6,49,0.012661953788265666,0.00986567953285913,0.16378228180732105
16,23,0.05,ridge_prior_csgm,0.001,0.01555942431921642,0.009687752709203051,52,6,49,0.015150847867064887,0.011541463454172868,0.19474751159052958
16,23,0.1,ridge_prior_csgm,0.0003,0.014884431685592765,0.009687752709203051,52,6,49,0.013142075864375175,0.009700863679449051,0.15804053753633718
16,23,0.2,ridge_prior_csgm,0.001,0.014733193990178107,0.009687752709203051,52,6,49,0.012785942707419087,0.009802881896244673,0.15940855316923694
16,41,0.05,ridge_prior_csgm,0.003,0.015927533875568806,0.010405719678722133,52,6,49,0.014115387344457815,0.010878610434737352,0.1803202929330116
16,41,0.1,ridge_prior_csgm,0.001,0.015224452151958702,0.010405719678722133,52,6,49,0.01312463877204639,0.010108892052010168,0.16417588647941536
16,41,0.2,ridge_prior_csgm,0.001,0.014662380728610258,0.010405719678722133,52,6,49,0.01196806200513067,0.009239766707992167,0.14901908065991332
32,7,0.05,ridge_prior_csgm,0.1,0.01577683623741938,0.007652280417592699,27,3,25,0.01743218482085914,0.013814401598706639,0.23152501755556543
32,7,0.1,ridge_prior_csgm,0.01,0.01573650525110953,0.007652280417592699,27,3,25,0.01720723659344361,0.013640560420416094,0.22869277979765765
32,7,0.2,ridge_prior_csgm,0.0003,0.014099996528116634,0.007652280417592699,27,3,25,0.01322046635981465,0.010261616432962396,0.17458715682198125
32,23,0.05,ridge_prior_csgm,0.0003,0.015308476165264491,0.007173003958075972,27,3,25,0.015393067693362293,0.01214899067256324,0.20605193249869522
32,23,0.1,ridge_prior_csgm,0.0003,0.014659927877726414,0.007173003958075972,27,3,25,0.013409513420332022,0.010473300032730844,0.17800937800550923
32,23,0.2,ridge_prior_csgm,0.0003,0.013751672016430903,0.007173003958075972,27,3,25,0.012461853405780694,0.009562115218425583,0.16163062719231555
32,41,0.05,ridge_prior_csgm,0.001,0.01738018068224375,0.008761114051951586,27,3,25,0.014045060862268182,0.011023686515677809,0.17960355350792273
32,41,0.1,ridge_prior_csgm,0.001,0.01693980863245357,0.008761114051951586,27,3,25,0.013891715996224314,0.01086190953702406,0.17679628137404094
32,41,0.2,ridge_prior_csgm,0.0003,0.013884225373851934,0.008761114051951586,27,3,25,0.012074070768518968,0.009405837502890915,0.14871868407864924
