step,n_train_approx,measurement_ratio,winner_method,winner_rmse,csgm_rmse,ae_rmse,csgm_gap_vs_ae_pct,csgm_wins_vs_ae
8,104,0.05,ridge_prior_csgm,0.015410413102618202,0.015410413102618202,0.017092801022301932,-9.842669539583508,True
8,104,0.1,ridge_prior_csgm,0.014317946862804132,0.014317946862804132,0.01634590349596503,-12.406512944735654,True
8,104,0.2,ridge_prior_csgm,0.011669591579045601,0.011669591579045601,0.016326830958828833,-28.52506644753862,True
16,52,0.05,ridge_prior_csgm,0.014932685067860399,0.014932685067860399,0.018906646852369067,-21.018860803499468,True
16,52,0.1,ridge_prior_csgm,0.013913872594051066,0.013913872594051066,0.01802645375032137,-22.814144219558354,True
16,52,0.2,ridge_prior_csgm,0.0124719861669384,0.0124719861669384,0.018076243175282464,-31.00343890044227,True
32,27,0.05,ridge_prior_csgm,0.015623437792163132,0.015623437792163132,0.021319175832345768,-26.71650201196323,True
32,27,0.1,ridge_prior_csgm,0.014836155336666634,0.014836155336666634,0.02500764853002903,-40.67352906511194,True
32,27,0.2,ridge_prior_csgm,0.012585463511371367,0.012585463511371367,0.0203498596844915,-38.15454402880886,True
