bg_type,method,rmse_mean_over_rhos,rmse_std_avg
linear,ae_regression_ub,0.013956348161803042,0.00046228503476107997
shallow,ae_regression_ub,0.013956348161803042,0.00046228503476107997
mlp2,ae_regression_ub,0.013956348161803042,0.00046228503476107997
mlp2,hybrid_lfista_joint,0.024347457294088198,0.0014560938277574803
linear,hybrid_lfista_joint,0.058289514921385996,0.00078243146086078
shallow,hybrid_lfista_joint,0.05892752322228858,0.008043636418408601
linear,ml_only,0.0171679260496875,0.0003281624469694
shallow,ml_only,0.0171679260496875,0.0003281624469694
mlp2,ml_only,0.0171679260496875,0.0003281624469694
