seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples,method_label
7,0.05,ae_regression_ub,0.018715001010246902,0.01569491980454269,0.24675293453434693,,49,"AE [u,b]"
7,0.05,ml_only,0.025823981619863164,0.020889810344443482,0.35630441245004973,,49,ML only
7,0.05,mlp_concat_ub,0.20586946320540525,0.1653799856718479,2.8689548027861385,,49,"MLP [u,b]"
7,0.05,mlp_prior_csgm,0.018011294072182066,0.01453275399672087,0.23960548140784968,,49,CLP-CSGM MLP
7,0.05,pca_regression_ub,0.13885235121520242,0.11121680905051706,1.8794110232470347,,49,"PCA [u,b]"
7,0.1,ae_regression_ub,0.017360509096165405,0.014302314768899602,0.22463259958381554,,49,"AE [u,b]"
7,0.1,ml_only,0.025823981619863164,0.020889810344443482,0.35630441245004973,,49,ML only
7,0.1,mlp_concat_ub,0.21144332231365714,0.17010944711925716,2.929307085706862,,49,"MLP [u,b]"
7,0.1,mlp_prior_csgm,0.016245979243876125,0.01295691558994795,0.21641202148881347,,49,CLP-CSGM MLP
7,0.1,pca_regression_ub,0.15295900829679673,0.12342939286944395,2.132442330231166,,49,"PCA [u,b]"
7,0.2,ae_regression_ub,0.01799308625226492,0.014907310700599672,0.23047202448694942,,49,"AE [u,b]"
7,0.2,ml_only,0.025823981619863164,0.020889810344443482,0.35630441245004973,,49,ML only
7,0.2,mlp_concat_ub,0.22560664281970835,0.18155398845855322,3.1844554569126924,,49,"MLP [u,b]"
7,0.2,mlp_prior_csgm,0.014033330148634214,0.01115593496559253,0.18964197986140927,,49,CLP-CSGM MLP
7,0.2,pca_regression_ub,0.14018198787117775,0.11298111339660065,1.9882171937575615,,49,"PCA [u,b]"
23,0.05,ae_regression_ub,0.01892882461311622,0.01579682155033977,0.24849025117343734,,49,"AE [u,b]"
23,0.05,ml_only,0.023199772869231743,0.018936937547010507,0.31703771137590486,,49,ML only
23,0.05,mlp_concat_ub,0.18100238109115285,0.14607936861939355,2.533031056837267,,49,"MLP [u,b]"
23,0.05,mlp_prior_csgm,0.018725109037026108,0.015101426759404249,0.24881526374677246,,49,CLP-CSGM MLP
23,0.05,pca_regression_ub,0.15242002244753655,0.12295380942314907,2.1750054176547415,,49,"PCA [u,b]"
23,0.1,ae_regression_ub,0.0189802211866231,0.015700133344411654,0.24805912605040553,,49,"AE [u,b]"
23,0.1,ml_only,0.023199772869231743,0.018936937547010507,0.31703771137590486,,49,ML only
23,0.1,mlp_concat_ub,0.1636296637645624,0.1331066863654008,2.2162318400263383,,49,"MLP [u,b]"
23,0.1,mlp_prior_csgm,0.01868395523627946,0.014498791710663431,0.24711860479435196,,49,CLP-CSGM MLP
23,0.1,pca_regression_ub,0.15068973036390235,0.1212555868812172,2.1654832754873086,,49,"PCA [u,b]"
23,0.2,ae_regression_ub,0.018764310367100027,0.015673736588925215,0.24742569298840936,,49,"AE [u,b]"
23,0.2,ml_only,0.023199772869231743,0.018936937547010507,0.31703771137590486,,49,ML only
23,0.2,mlp_concat_ub,0.2246362227523406,0.1806312557937334,3.0691687469522972,,49,"MLP [u,b]"
23,0.2,mlp_prior_csgm,0.014325215231954142,0.011491384563449631,0.19081201234944947,,49,CLP-CSGM MLP
23,0.2,pca_regression_ub,0.12195879391730956,0.09733059038295527,1.6936207995512804,,49,"PCA [u,b]"
41,0.05,ae_regression_ub,0.019150694470549515,0.015571040295027785,0.25100065429543283,,49,"AE [u,b]"
41,0.05,ml_only,0.023661073256168022,0.01897121944521565,0.3186243274183922,,49,ML only
41,0.05,mlp_concat_ub,0.19231333252324498,0.15430775485242426,2.6777778120135887,,49,"MLP [u,b]"
41,0.05,mlp_prior_csgm,0.018262020052419305,0.014679583774490888,0.2395635867291981,,49,CLP-CSGM MLP
41,0.05,pca_regression_ub,0.13506161347885662,0.10924709912011965,1.9230685141182249,,49,"PCA [u,b]"
41,0.1,ae_regression_ub,0.017729599236741438,0.014598087999544856,0.23097472125242602,,49,"AE [u,b]"
41,0.1,ml_only,0.023661073256168022,0.01897121944521565,0.3186243274183922,,49,ML only
41,0.1,mlp_concat_ub,0.19635486438789643,0.1592260981097095,2.7536707398986726,,49,"MLP [u,b]"
41,0.1,mlp_prior_csgm,0.017679725224134312,0.014061105943518901,0.23026028373508725,,49,CLP-CSGM MLP
41,0.1,pca_regression_ub,0.1363391041889034,0.10989713645467884,1.9306820276255885,,49,"PCA [u,b]"
41,0.2,ae_regression_ub,0.01789443236297205,0.014624173013181916,0.23063597656194929,,49,"AE [u,b]"
41,0.2,ml_only,0.023661073256168022,0.01897121944521565,0.3186243274183922,,49,ML only
41,0.2,mlp_concat_ub,0.18549554693082734,0.14833085364469356,2.4677707456628433,,49,"MLP [u,b]"
41,0.2,mlp_prior_csgm,0.013861529363936026,0.011045191535235338,0.17971629690421914,,49,CLP-CSGM MLP
41,0.2,pca_regression_ub,0.12596098665656377,0.10149850116158003,1.7981294416647597,,49,"PCA [u,b]"
