measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,step,run_id,n_train_approx
0.05,ae_regression_ub,0.0170928010223019,6.107302971081554e-05,3.5260530143765365e-05,0.014077267211548,9.484930983706016e-05,0.220824703955893,0.0023169974395153,,,3,97,6.911063908178011e-05,8,prod_step08,104
0.05,hybrid_lfista_joint,0.0456008178753392,0.0018746239680834,0.0010823146526023,0.0370541927575859,0.0016362227259171,0.6222511212318366,0.0410033276615891,0.2560085688719049,0.0343510995687616,3,97,0.0021213367191005,8,prod_step08,104
0.05,ml_only,0.0221479044009279,0.0009016218721176,0.0005205516305743,0.0178904084566044,0.0007209985815067,0.3004227453095732,0.0156689565498054,,,3,97,0.0010202811959257,8,prod_step08,104
0.1,ae_regression_ub,0.016345903495965,0.000174548837631,0.000100775818393,0.0134380789534463,0.0001606134031278,0.2089696009369646,0.0028511732597027,,,3,97,0.0001975206040503,8,prod_step08,104
0.1,hybrid_lfista_joint,0.0448218976053937,0.0013177609575338,0.0007608096435597,0.0361771545638166,0.0010637561434885,0.6116282984293774,0.0362408729199077,0.3221989872229737,0.00484436546842,3,97,0.001491186901377,8,prod_step08,104
0.1,ml_only,0.0221479044009279,0.0009016218721176,0.0005205516305743,0.0178904084566044,0.0007209985815067,0.3004227453095732,0.0156689565498054,,,3,97,0.0010202811959257,8,prod_step08,104
0.2,ae_regression_ub,0.0163268309588288,0.0004143079305041,0.0002392007952039,0.0134980302383858,0.0004529746242306,0.2089301984319594,0.0054606264216333,,,3,97,0.0004688335585997,8,prod_step08,104
0.2,hybrid_lfista_joint,0.0408473744150922,0.0023312987641043,0.001345975969017,0.0316954044790577,0.0019068365405989,0.5540405655584936,0.0475492881935587,0.432765067511119,0.0144608781755087,3,97,0.0026381128992734,8,prod_step08,104
0.2,ml_only,0.0221479044009279,0.0009016218721176,0.0005205516305743,0.0178904084566044,0.0007209985815067,0.3004227453095732,0.0156689565498054,,,3,97,0.0010202811959257,8,prod_step08,104
0.05,ae_regression_ub,0.0189066468523691,0.0001859751686138,0.0001073728136618,0.0156800004505326,0.0002155678466944,0.2482968299436508,0.0014916838544586,,,3,49,0.0002104507147771,16,prod_step16,52
0.05,hybrid_lfista_joint,0.0502756530368296,0.0006089297446486,0.0003515657519904,0.0405343426373622,0.0004217295835556,0.7122907141976581,0.0168800257671826,0.2738045937273063,0.0517076757232491,3,49,0.0006890688739013,16,prod_step16,52
0.05,ml_only,0.0242282759150876,0.0014010378417218,0.0008088895750629,0.0195993224455565,0.0011177267443415,0.3306554837481155,0.0222267855364702,,,3,49,0.0015854235671234,16,prod_step16,52
0.1,ae_regression_ub,0.0180264537503214,0.0008526971320816,0.0004923049187445,0.0148742290696192,0.000743053310358,0.2344811791064201,0.0119149525075382,,,3,49,0.0009649176407393,16,prod_step16,52
0.1,hybrid_lfista_joint,0.049673915656482,0.001433003025718,0.0008273446826478,0.0398327637987351,0.0012335178360996,0.7029037153258862,0.0306436823579596,0.3485686474631064,0.0267565995186987,3,49,0.0016215955779897,16,prod_step16,52
0.1,ml_only,0.0242282759150876,0.0014010378417218,0.0008088895750629,0.0195993224455565,0.0011177267443415,0.3306554837481155,0.0222267855364702,,,3,49,0.0015854235671234,16,prod_step16,52
0.2,ae_regression_ub,0.0180762431752825,0.0004526012692215,0.0002613094646206,0.0149375030051844,0.0004658688642018,0.2341958266922446,0.0090592763864854,,,3,49,0.0005121665506563,16,prod_step16,52
0.2,hybrid_lfista_joint,0.0458973668866345,0.0025394026292294,0.0014661247915664,0.0351974789004647,0.0019050161835165,0.6466410929793565,0.0482897473531777,0.4705724754118711,0.0014859523079598,3,49,0.0028736045914702,16,prod_step16,52
0.2,ml_only,0.0242282759150876,0.0014010378417218,0.0008088895750629,0.0195993224455565,0.0011177267443415,0.3306554837481155,0.0222267855364702,,,3,49,0.0015854235671234,16,prod_step16,52
0.05,ae_regression_ub,0.0213191758323458,0.0009327839497226,0.0005385430644681,0.0177295697420525,0.0007501103587925,0.2939049124672243,0.0182818189540488,,,3,25,0.0010555444063575,32,prod_step32,27
0.05,hybrid_lfista_joint,0.0581314663201448,0.0019392714118107,0.0011196388716406,0.0471759231407022,0.0013289251637112,0.8384598546789706,0.0368509545213316,0.3227495244968013,0.0314075685138699,3,25,0.0021944921884156,32,prod_step32,27
0.05,ml_only,0.0257063081869201,0.0014407253940716,0.0008318031940956,0.0208979138547289,0.0011358949169607,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274,32,prod_step32,27
0.1,ae_regression_ub,0.025007648530029,0.0087265759279032,0.0050382909610786,0.0217310001910508,0.0085687440643379,0.3607207809975257,0.1512873288665431,,,3,25,0.0098750502837141,32,prod_step32,27
0.1,hybrid_lfista_joint,0.0575049181740113,0.0010791789185763,0.0006230642391438,0.0462441708741981,0.0007242874198516,0.8311739405959088,0.0257485569621053,0.3993641930718483,0.0212560346432472,3,25,0.0012212059087218,32,prod_step32,27
0.1,ml_only,0.0257063081869201,0.0014407253940716,0.0008318031940956,0.0208979138547289,0.0011358949169607,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274,32,prod_step32,27
0.2,ae_regression_ub,0.0203498596844915,0.001041225777123,0.0006011519827091,0.0171020491160537,0.0008809122863214,0.2814408547363311,0.0162491824795017,,,3,25,0.0011782578861099,32,prod_step32,27
0.2,hybrid_lfista_joint,0.0524916685926821,0.0017673461056257,0.0010203777498342,0.0404828129119305,0.0016240807451797,0.7566493163234238,0.04063847169628,0.4939572695110091,0.0134753362788711,3,25,0.0019999403896752,32,prod_step32,27
0.2,ml_only,0.0257063081869201,0.0014407253940716,0.0008318031940956,0.0208979138547289,0.0011358949169607,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274,32,prod_step32,27
