step,measurement_ratio,ae_regression_ub,hybrid_lfista_joint,ml_only,mlp_concat_ub,pca_regression_ub
8,0.05,0.01709,0.0456,0.02215,0.14705,0.12493
8,0.1,0.01635,0.04482,0.02215,0.15481,0.12174
8,0.2,0.01633,0.04085,0.02215,0.15959,0.11213
16,0.05,0.01891,0.05028,0.02423,0.19313,0.14435
16,0.1,0.01803,0.04967,0.02423,0.18953,0.14795
16,0.2,0.01808,0.0459,0.02423,0.21437,0.12736
32,0.05,0.02132,0.05813,0.02571,0.25959,0.17014
32,0.1,0.02501,0.0575,0.02571,0.24032,0.20153
32,0.2,0.02035,0.05249,0.02571,0.25169,0.16869
