step,measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
8,0.05,ridge_prior_csgm,0.0144859710590121,0.0017627159533434,0.0010177045301676,0.0117840852838427,0.0014312153891658,0.2021046914292036,0.0272222256480199,,,3,97,0.0019947008791286,CLP-CSGM Ridge
8,0.1,ridge_prior_csgm,0.0140755522785291,0.0012817674897492,0.0007400288052452,0.0114010748342944,0.0010306455574523,0.1954107369013152,0.0208627026472859,,,3,97,0.0014504564582806,CLP-CSGM Ridge
8,0.2,ridge_prior_csgm,0.0120640224482287,0.0005646407595766,0.000325995494537,0.0095938055931995,0.0004321579521188,0.1637191953392726,0.0089214078968255,,,3,97,0.0006389511692925,CLP-CSGM Ridge
16,0.05,ridge_prior_csgm,0.0140272869998712,0.0006391635609204,0.0003690212539536,0.0112639565179458,0.0005174413993981,0.1861274004896607,0.0141177542039356,,,3,49,0.0007232816577491,CLP-CSGM Ridge
16,0.1,ridge_prior_csgm,0.0137995557452113,0.0010684821216932,0.0006168884405838,0.0110691559203421,0.0008961148876144,0.1848502398146025,0.0212113886814098,,,3,49,0.0012091013435444,CLP-CSGM Ridge
16,0.2,ridge_prior_csgm,0.012886349601771,0.0005176368956502,0.0002988578010461,0.0103581578510317,0.0004471659947213,0.1710149621637936,0.0119167155932825,,,3,49,0.0005857612900505,CLP-CSGM Ridge
32,0.05,ridge_prior_csgm,0.0146171733130539,0.0010369975995222,0.0005987108432331,0.0118471265321796,0.0008534852619952,0.1980560686369934,0.0174652700708604,,,3,25,0.0011734732527369,CLP-CSGM Ridge
32,0.1,ridge_prior_csgm,0.0146914627437731,0.0013767385536413,0.0007948603745485,0.0119284170289683,0.0012537388561417,0.1987279067535067,0.0229341957473847,,,3,25,0.0015579263341151,CLP-CSGM Ridge
32,0.2,ridge_prior_csgm,0.013050129392557,0.0002767033271003,0.000159754740387,0.0104197242555081,0.0002043386917647,0.1728387520298819,0.0068825196984129,,,3,25,0.0003131192911585,CLP-CSGM Ridge
8,0.05,mlp_prior_csgm,0.018309734454176,0.00115714989546,0.0006680808036366,0.0146301714210196,0.0009133402746774,0.245244101681302,0.0160546173220674,,,3,97,0.0013094383751277,CLP-CSGM MLP
8,0.1,mlp_prior_csgm,0.0171329667761724,0.0007467262128303,0.0004311225799885,0.0135025972880485,0.0005451007092671,0.2291880059003571,0.0086171439542932,,,3,97,0.0008450002567775,CLP-CSGM MLP
8,0.2,mlp_prior_csgm,0.0137892792155998,0.0004303105792064,0.00024843992874,0.0107618862962016,0.000337195527655,0.1824744279387516,0.0080506428286803,,,3,97,0.0004869422603304,CLP-CSGM MLP
16,0.05,mlp_prior_csgm,0.0183328077205424,0.0003621341208413,0.0002090782321505,0.0147712548435386,0.0002952115621545,0.2426614439612734,0.0053294054316897,,,3,49,0.000409793335015,CLP-CSGM MLP
16,0.1,mlp_prior_csgm,0.0175365532347633,0.001225277682319,0.0007074143997189,0.0138389377480434,0.0007945844972177,0.2312636366727508,0.0153778607879357,,,3,49,0.0013865322234491,CLP-CSGM MLP
16,0.2,mlp_prior_csgm,0.0140733582481747,0.0002344202052182,0.0001353425685862,0.0112308370214258,0.000232335518341,0.1867234297050259,0.0060964888724473,,,3,49,0.000265271434429,CLP-CSGM MLP
32,0.05,mlp_prior_csgm,0.0221092860676558,0.0017241595695613,0.0009954439916121,0.0179780974837164,0.0014383042862472,0.3089153093704909,0.0359488070874902,,,3,25,0.0019510702235597,CLP-CSGM MLP
32,0.1,mlp_prior_csgm,0.0211999503253339,0.0016330569089663,0.0009428458459937,0.0171437643593488,0.0015428752897843,0.2929690839899968,0.029421745315615,,,3,25,0.0018479778581476,CLP-CSGM MLP
32,0.2,mlp_prior_csgm,0.015817818830495,0.0008540955550526,0.0004931122986233,0.0125249223750657,0.0004772097437078,0.2153816050903455,0.0181509327263836,,,3,25,0.0009665001053016,CLP-CSGM MLP
